TEXT,Annot-1,Annot-2,Annot-3,Source,classes
নাইস লাগসে খানকি মাগি ,1,1,1,,1
সেই লেভেলের চুরি।।৩ ৪ গানের ভিডিও এর নকল।বাংগালি 😂,1,1,1,,1
"সারা দিন খাওয়া-দাওয়া,মারো শুধু গরম হাওয়া,বাথরুমে গিয়ে হাগা দিলা না",1,1,1,,1
মাল আউট হয়ে গেছে।।। ,1,1,1,,1
ফ্রেন্ডের সোনার আগা কাটা ,1,1,1,,1
"আপু সত্যি তুমি ঠিক বলেছো আমি রাস্তা গাটে মেয়েদের কে চুমা দেব, তো মানুষ পজেটিব নিবে ",1,1,1,,1
"ললনা,ও ললনা,এক সাথে সেক্স করি চল না।",1,1,1,,1
নোয়াখালীর গ্যাংস্টার অন্তর ,1,1,0,,1
এই মি এন্ড ইউ নাটকের চেয়ে ইউ এন্ড মি কনডমটা বেশি ভালো,1,1,1,,1
সে ডিপজলের মতো মাফিয়া গডফদার হতো,1,1,1,,1
মাদারচোদ অ্যাম্পিয়ার গলায় পা ,1,1,1,,1
এসব বাদ দিয়া পরর্ন ভিডিও বানা খানকি। ,1,1,1,,1
"কিরে মাদারচুদ! এটা বিনোদনের জাইগা! ধর্ম নিয়ে হাসি ঠাট্টাতামাসার না! এখানে মুসলিম অমুসলিম সবাই আছে। কোন যুক্তিতে ধর্ম, নবী রাসুল, আল্লাহর নাম এখানে আনার প্রয়োজন মনে করছ! আরে মাদারবোড অমুসলিম, নাস্তিক যারা আছে তারা যে বিষয়টা নিয়ে হাসি তামাসা করে, তোর কি চুখে পরে না? 🤬🤬 ",1,1,1,,1
সব আম্পায়ারই রেন্ডিয়ার দালাল ,1,1,1,,1
"খানকি ভালতো লাগবোই,,,,চোদোন খাইলে ভাল তো সবারি লাগে,,,,তা যদি হয় ফ্রি তে,,,,,,মাদারচোদ খানকি ",1,1,1,,1
এই জানোয়ার নাকি গানের ভিডিও শুট করতে অনেক কমফোর্ট ফিল করেছে। এসব জারজ সন্তানগুলো দিয়ে জারজ পেতাত্মা গোলা দেশ ও সমাজ নষ্ট করে দিচ্ছে। এসব যারা সন্তানগুলোকে পাথর নিক্ষেপ করে মারা উচিত। ,1,1,1,,1
"হালা আবাল এখন তেলাল মাথাত তেল দিয়ে ভাইরাল হতে চায়,,, ",1,1,1,,1
বোদার নিউজ দেছ মারাদ চোদেরা বালা কিছু দে ,1,1,1,,1
বাল সাজেশন দাও ,1,1,1,,1
পুন্দানমন্তির বারির সামনে পুন্দাপুন্দি চলে। ,1,1,1,,1
"কে কে তোর বোনরে চুদবে সেইটা বল,মাদারচোদরা আসে ইউটিউবে আসে ইসলাম প্রচার করতে। ",1,1,1,,1
হ্যাকিং ফালতু ভিডিও দেখাইয়া টাকা ইনকাম করে না মাদারচোদ ,1,1,1,,1
বালের রোস্ট করসোস,1,1,1,,1
সেফুদার একটা ডাইলগ আমার খুব ভালো লাগতো।ছাত্রলীগ =কুত্তালীগ ,1,1,1,,1
তামিমের সাথে কারো ওপেনিং ভালো হয়না তামিম কে দল থেকে বাত দিতে হবে শালায় না থাকলে দল ভালো থাকে শালায় কুফা ,0,1,1,,1
"বুঝলাম না,এই আবাল গুলা কোন জায়গা থেইকা আসে,ইউটিউব এর বাঙালি কনটেন্ট গুলাতে এমন কমেন্ট আছেই-কে কে আল্লাহকে বিশ্বাস কর,কে কে ভালোবাসো?কে কে নবিজিকে ভালোবাসো??এইটা কি এই কমেন্ট করার যায়গা,একটাই প্রশ্ন ওদের কাছে - নামাজ কি ঠিক মতো পরস নাকি,এইগুলার কোনো মানে আছে ",1,1,1,,1
এই খাচ্চর কি রিপ্লাই করছত এইটা??? ,0,1,1,,1
বাল কপি করা ,1,1,1,,1
শেখ সাদিকে ক্রস ফায়ারে মেরে ফেলা দেশ ও জনগণের জন্য মঙ্গল !! ,1,1,1,,1
মানে গান একটা হিট হইলে ওইটারে পুটকি মেরে ক্ষেত বানানো লাগবে? ,1,1,1,,1
হালা কাবিলা(পলাশ)চোরের পার্ট লইছে ,1,0,1,,1
খানকি মরোন তোমাকে খোজভে তখন ভুজভে ,1,1,1,,1
মাদার চোদেরা মানুশ মরলে তাদের কি লাক লাক টাকাত ইনকাম হয় মানুসের বিচার নেই ,1,1,1,,1
"সস্তা লিরিক, হেডার গান ফাউল ",1,1,1,,1
স্পিকার সহ সবি বিনা ভোটে নির্বাচিত ওদের কাছে বুটের কি মূল্য আছে সত্য কথার কি মূল্য আছে । তারপরও আপা আপনাকে ধন্যবাদ চালিয়ে যান । আপনাদের মত মেয়েরা না থাকলে। মমতাজের মত নর্তকীরা বাংলাদেশের সংসদ ভরে যাবে আমরা চাই মমতাজের মত নর্তকীরা আমাদের মহান পবিত্র সংসদে যাতে না থাকে  ,1,1,1,,1
"জেই সালারা ডিচ লাইক দিচে, তারা হলো রাজাকার,একমত হলে লাইক দিন ",1,1,1,,1
গাজাখুরি পাগল।।পথের ধারে গিয়ে ভিক্ষা কর তাও ভালো।।আর কত বাঙালীরে বোকা বানাবে।।চাইলেই আফরান নিশো হওয়া যায় না।যোগ্যতা লাগে। আর চাইলে যে অভিনেতা অভিনেত্রী গায়ক হওয়া যায় না তা এই বাংলাদেশী ইউটিউব ও মুভি ইন্ডাস্ট্রি দেখলে বুঝা যায়।।আবাল গুলারে আবার মানুষ সাপোর্ট করে টাকা দে মন দে।সব কপিবাজ ও চোরের দল।মনের ও ব্রেনের দিক দিয়ে সব গুলা ফকিন্নি।। ,1,1,1,,1
নামাজির গরের নামাজি তর বাফে নি নামাজ পরছে কোনোদিন. তর কথায় মানুষ নামাজ পরবনে মুসলমান হলে সে এমনিই নামাজ পরব. তুই ইউটুবে কি করছ মসজিদে যা ,1,1,1,,1
"এসব খানকি মাগিদের কারণে সমাজে ধর্ষণ, জেনা বেশি হচ্ছে। এসব মেয়েদের ক্রস ফায়ার করে মারা দরকার!!!! ",1,1,1,,1
ওকে চোদার পরও লোকজন পজিটিভলি ভাববে। সব ইলুমিনাতির জাত। ,1,1,1,,1
১০০% গেরান্টি দিয়ে বলতাছি মিন্নির ফাসি চাই ও মিন্নির সাথে যারা আছে তাদের ও ফাসি চাই,1,1,1,,1
" এবার কুন গ্রুপ সিস্টেম না,আর সালারা, বাংলাদেসের সাথে খেলা হলেই আম্পায়ের কে কনে ফেলে এবার আসিস সালারা,,তুরা সেমি ফাইনালেই দকবি বিদাই ",1,1,0,,1
"শালির ঘরে শালি,, ডায়লকটা জোশ ছিল,, ",1,1,0,,1
হেডার ভিডিও করছে 😈😈😀😁😂 ,1,1,1,,1
আম্পায়ার এর মারে চুদি ।,1,1,1,,1
এটা তো মডেল না মাগি ।,1,1,1,,1
মফিজের মফিজ ভিডিও ।,1,1,1,,1
সবাইকে ধরে ডিম থেরাপি দেওয়া হোক ,1,1,1,,1
"ভাইয়া এত বেশি ফান ও ভালো লাগলো না, কারন যার সাথে প্রাংক করছেন সে হয়ত নতুন প্লেয়ার কিন্তু আপনি ভালো তাইনা? তাই বাল পাকনামি ছাইড়া দাও,,, আর মুরগা কোন শব্দ হ্যা?? ",1,1,1,,1
"শুয়োরের বাচ্চা মেয়েটা মনে হয় গায়ে পড়ে ঝগড়া করতে এসেছে,!! কথার কোন ব্যালেন্স নেই, আক্রমনাত্বক কথাবার্তা,!! ",1,1,1,,1
কিসের অপরাধী বালের গান এইটা এখনো হিট। ,1,1,1,,1
গাঁজা খাওয়া আম্পায়ার ,1,1,1,,1
"কানকির পোলা বেকার ইউটিউবার তরা ইসলামকে বিজনেস কর। ভিডিও বানিয়ে ভিউ বাড়াছ, ভিডিও বানানোর মত আর কোন টপিক নাই। তরা জানিসি বা কি শুধু ফালতু ভিডিও দিয়ে ইউটুবের ডাটা সার্ভার নষ্ট করতেছিচ।এগুলা বাদদে ভাল কোন আইডিয়া বা স্কিল থাকলে মানুষের সাথে শেয়ার কর। ",1,1,1,,1
ক্রসফায়ারে মেরে ফেলা হোক ,1,1,1,,1
কুত্তার বাচ্চারা ফোন দিলে ফোন ধরস না কেন ইউটিউবে ভুয়া ব্যবসা করস ,1,1,1,,1
হায়রে এক গানে ১৪ টি চুমা। এইটা রোমান্স নাকি পর্ণ ভিডিও মিউজিক সেটা বুঝা দায়।,1,1,1,,1
কি বালের ভিডিও বানালেন ভাই। টাইটেল দিলেন রোস্ট আর ভিতরে দেহি সবজি। ,1,1,1,,1
কিছু খারাপ চুদা মাগি আছে কিছু খারাপ চুদা মেয়ে আছে ইউটিউব ফেসবুক টিক টক অনলাইন ঘাটাঘাটি কোন কিছু বাকি রাখে নাই সেই সব খারাপ চুদা । মেয়েরা ইউটিউব কমেন্ট বক্সে কমেন্ট করে পাঁচ ওয়াক্ত নামাজ পরো আরো কত কি বলে আর আমি বলি তোরা যে কিরকম ধরনের মেয়ে এটা আমার বেশ ভালোভাবে জানা আছে তোদের জন্য আজকে সমাজটা নষ্ট ,1,1,1,,1
"তোরে গালি দেওয়া উচিত, ফেক একাউন্ট খুইলা,, কমেন্ট করছ। ",1,1,1,,1
এতো বড়ো অনুষ্ঠানের জন্য উপস্থাপক হবে স্মার্ট ছেলে আর মেয়ে যারা সুন্দর ভাবে অনুষ্ঠান পরিচালনা করবে ..বাংলাদেশে কি স্মার্ট উপস্থাপকের অভাব আছে নাকি...এই বুড়া চুদির পোলারে বাল হালাইতে এনেছে!!!!হালার চেহারা দেইখা আর ইংলিশ শুইন্না টিভি অফ করে দিচ্ছি!!!বুইড়া চুদির পোলারে জিগায় একটা আর হালায় কয় আরেকটা!!! ,1,1,1,,1
আম্পায়ার কে নিশ্চই শুয়ার চুদিছিলো ,1,1,1,,1
"ওই ডিজলাইক দিছে কে কে,তোরা একটু সামনে আয় তো দেখি,,,,,,,,,,😡😡😡 খানকির পোলা,,,,,,,তর মার কান্দে রেখে তর বোনকে চোদবো মাদারচোদ ",1,1,1,,1
পাছা কবির এর লাইজ্ঞা ডিসলাইক দিলাম...🤣 তাছাড়া লাইক দিতাম ,1,1,1,,1
"যারা এই ব্লগ এ ডিজলাইক দিলো তারা হলো , উগান্ডার বাসিন্দা ",1,1,1,,1
"অনুষ্ঠান আয়োজন করছে যারা,,, সেই শালারা কি জানো না বাংলাদেশে কি মডেল নাই,,,। বিলাতি কুত্তা নিয়ে অনুষ্ঠান করে,,,।",1,1,1,,1
তাদের কে চিত করে শুয়িয়ে গোল্ড এর  দুটি বিচির মধ্যে পাথর দিয়ে আঘাত করা হোক ,1,1,1,,1
"ডিজিটাল বাংলাদেশে,,ডিজিটাল রেপ ",1,1,1,,1
মাগী কে গালি দিলেও খুসি হবে তাই সরকার নিষিদ্ধ করে দেন এসব গান মিউজিক গান ,1,1,1,,1
