TEXT,Annot-1,Annot-2,Annot-3,Source,classes
"স্টাফ কিন্তু, আমাদের জন্য ভয়ঙ্কর ছিল।",0,0,0,Fb,0
"শুধুমাত্র,রিডামিং ফ্যাক্টর খাদ্য ছিল,পুরোপুরি ন্যায্য হওয়ার জন্য,  , যা গড়ের চেয়েও বেশি ছিল, কিন্তুঅন্যান্য দুর্বলতাগুলির জন্য এটি তৈরি করা সম্ভব হয়নি",0,0,0,,0
"আমাদের টোস্ট ভুলে গেছি,তাদের পেঁয়াজ ছিল না, , বাম দিকের উপাদানগুলি (একটি omelet পনির), গরম তাপমাত্রা নিচে এবং বেসিন এত উপর রান্না করা ছিল, যখন এটি আমি প্লেট উপর করে crumbled  স্পর্শ করি।",0,0,0,,0
"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে।",0,0,0,,0
" আসনগুলি অস্বস্তিকর হয়, যদি আপনি কাঠের বেঞ্চে প্রাচীরের পাশে বসে থাকেন।",0,0,0,,0
ফ্যান এর একটি মহান ধারণা পেয়েছিলাম কিন্তু ডেলিভারি উপর একটু রুক্ষ।,0,0,0,,0
এটির মান accurate  নয়।,0,0,0,,0
আমি রথ এর ডাবল হয়েছি এবং উভয় বার খুব ফ্রাস্টেটেড ছিলাম,0,0,0,,0
"জিজ্ঞাসা করা হলে, আমরা আরও ডিটেলস  প্রশ্ন জিজ্ঞাসা করতে হবে যাতে আমরা বিশেষ কি ছিল তা জানতাম।",0,0,0,,0
"মূল্যবান, কিন্তু একবার  ট্রাই করা মূল্যবান , অন্তত একবার",0,0,0,,0
"আমি সেখানে কয়েক বার গিয়েছি, এবং আমি সাধারণত কিছু অ্যামেজিং অদ্ভুত মানুষ পাশে বসতো ।",0,0,0,,0
মেনু খুব সীমিত - আমি মনে করি আমরা 4 বা 5 এনট্রিস গণনা করি।,0,0,0,,0
"খুব পাগল না,তাদের মেটা মার্টিনি সম্পর্কে ।",0,0,0,,0
"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",0,0,0,,0
তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা স্কীলড এন্ড accurate  হয়।,0,0,0,,0
"ডিশ কিভাবে ছোট, ছিল আমার সমস্ত সহকর্মী বিস্মিত ছিল",0,0,0,,0
আমরা এটি বিশেষ আদেশ গ্রিলটি branzino খাওয়া কঠিন যেহেতু হাড়ের সঙ্গে infused .,0,0,0,,0
কখনো আমি  এত ইনটেনশন আচরণ করি নি।,0,0,0,,0
আমার ডেলিভারির জন্য রেস্টুরেন্ট অর্ধেক অর্ডার ভুলে যায়,0,0,0,,0
"আমাদের উপর চেক করা হয়,কারণ আমাদের সার্ভার পুরো জ্যাম থাকে। ",0,0,0,,0
"আমি নেতিবাচক  স্বাদ কুঁড়ি প্রভাবিত, বাম এবং ডান থেকে আসছে শক্তিশালী scents  ।",0,0,0,,0
"আমরা যদি থামিয়ে দিতাম তবে বুঝতে পারতাম যে তারা কোথা থেকে আসছে, কিন্তু আমরা সেখানে এক ঘণ্টারও কম সময় কাটিয়েছি এবং তারা আমাদের কাছে এখনো একটি চেকও নিয়ে আসেনি!",0,0,0,,0
"আমি রিজার্ভেশন করার চেষ্টা করেছি, কিন্তু উভয়ই সময়, হোস্টেলে আমার নাম ছিল না।",0,0,0,,0
এই রেস্টুরেন্ট বেশ সুন্দর হতে ব্যবহৃত।,0,0,0,,0
"এটা ক্ষুদ্র ছিল, এবং আমি অনুভব করলাম যে আমি কারো এলাইভ  রুম এ খাচ্ছি।",0,0,0,,0
"অনাবিষ্কৃত ম্যানেজারদের উল্লেখ না করে, সামগ্রিক এক্সপেরিয়েন্স ভয়ানক ছিল ভয়ানক পরিষেবা ও নমনীয় খাদ্য থেকে",0,0,0,,0
শেষবার যখন আমি গিয়েছিলাম তখন আমরা রান্নাঘরের পাশে একটি করিডোরের টেবিলে বসে ছিলাম।,0,0,0,,0
আমি গত মাসে জিমির ব্রঙ্কস ক্যাফের চেয়ে বেশি আবেগপ্রবণ বোধ করিনি।,0,0,0,,0
"হ্যাঁ, তারা চকচকে উপাদানগুলি ব্যবহার করে, কিন্তু কল্পনাপ্রসূত উপাদানগুলি ভাল পিৎজা না করলেও কেউ জানে না যে কীভাবে বিপরীত হিট করতে হয় ।",0,0,0,,0
"বাইরের দিকে তাকিয়ে, এক ওয়াল  এই গর্তে প্রবেশ করতে দ্বিধা করবে (সত্যিই, এটা কি তা)।",0,0,0,,0
"খাদ্য  অ্যাভারেজ  ছিল এবং creme brulee ছিল ভয়াবহ - চিনি জটানো ছিল না, caramelized এবং কেবিনের গন্ধ না।",0,0,0,,0
আমার পরিবার সম্পূর্ণ শকড ছিল।,0,0,0,,0
"একটি রেস্টুরেন্ট, খাবার সবচেয়ে ইম্পরট্যান্ট অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি ",0,0,0,,0
দূর থেকে কাস্টমারদের -এটি একটি পিছনে ঘর করা উচিত  ,0,0,0,,0
পরিষেবা উন্নত হতে পারে কিন্তু সামগ্রিকভাবে এই জায়গাটি রেস্টুরেন্ট অভিজ্ঞতাতে সামান্য জিনিসগুলির গুরুত্ব  বোঝে।,0,0,0,,0
"প্রথম বন্ধ, ওয়েট্রেস সম্পূর্ণভাবে অযৌক্তিক ছিল 2 বার আমরা তাকে দেখেছি (6 টেবিল সঙ্গে একটি রেস্টুরেন্ট মধ্যে অদ্ভুত) এবং আমাদের অর্ডার ভুল পেয়েছিলাম",0,0,0,,0
খাবার এক্সট্রা তৈলাক্ত ও ছিল,0,0,0,,0
"শেষবার আমি এখানে গিয়েছিলাম, আমাদের অর্ডারটি নেওয়ার পর ওয়েট্রেস ফিরে আসেনি।",0,0,0,,0
এটি একটি খুব হতাশাজনক অভিজ্ঞতা আপনার ডেস্কে খাওয়া।,0,0,0,,0
একটা বেকার ছেলের মাকে খুন করার মত মানসিকতা তৈরী হওয়ার পিছনে কারণ গুলো বের করে সলভ করা উচিত। নতুবা এই ধরণের ইনসিডেন্ট বারবার ঘটা অস্বাভাবিক কিছু হবে না।,0,0,0,,0
"বাংলাদেশে নির্বাচন আসলে ব্যাপক বিনোদন ফ্রিতে পাওয়া যায়,আমরা চায় বাংলাদেশে প্রতি পাচ বছর বছর না হয়ে এক বছর বছর পর হলে ভালো হতো,হার্টের রোগী কমে যেতো।",0,0,0,,0
আরিফ ভাই রোহিঙ্গাদেদেরও হেল্প করুন।,0,0,0,,0
"ওয়ার্ল্ড কাপ চলাকালীন সময়ে আমরা দিরিলিস আর্তগোল দেখতে চাই, তাই আপনারা দয়া করে, অনুগ্রহ করে অন্য সময় হলেও আমাদের দিরিলিস প্রেমীদের দিরিলিস দেখার সুযোগ করে দিন ধন্যবাদ।",0,0,0,,0
কাজকে রেসপেক্ট করার শিক্ষা না হলে আরো কত কি দেখতে হবে,0,0,0,,0
নিজের উপজেলা শুধু বেছে নিলেন! দেশের প্রত্যেকটা উপজেলা এবং গ্রাম লোডশেডিং এর কবলে বিপর্যস্ত!,0,0,0,,0
দেশে আপনারমত আরকিছু নেতা দরকার তাহলে আমাদের দেশটা ডিজিটাল বাংলাদেশ হবে।,0,0,0,,0
হাজারো সালাম জানাই স‍্যার আপনাকে। go ahead বাংলাদেশ । ,0,0,0,,0
ভাবতেছি এবারে শার্ট কিনবো না একটা গেঞ্জি আর একটা লুঙ্গি কিনবো। দুইটারি পকেট নাই,0,0,0,,0
তারটি অর্ধছেঁড়া ছিল কিন্তু পল্লীবিদ্যুৎ ওয়ালারা রিপেয়ার  করেনি.,0,0,0,,0
হায়েনারা গতিবিদি লক্ষ রাখে তাই safety অভলম্বন করা উচিত ভাই।,0,0,0,,0
বাড়িতে যান নির্ভয়ে কিছুই হবে না।।। মরতে তো একদিন হবেই। sad নয় আমরা।,0,0,0,,0
বাড়ি গিয়ে ফ্যামিলি সঙ্গে ঈদ করে আসুন। ঈদের পর ইনশাআল্লাহ আন্দোলন গড়ে তুলুন। আমরা ছিলাম আছি থাকবো . আমাদের সিগন্যাল এর ওয়েট করবেন .,0,0,0,,0
আমরা দিরিলিস প্রেমী। দীর্ঘ ১সিজন থেকে দেখা শুরু করে ২সিজন এ এসে থেমে আছি।আপনারা দিরিলিস রাত প্রচার করতে না পারলে দিনে করুণ। দিনে না পারলে সন্ধ্যায়।,0,0,0,,0
আমার বাবা মা ও প্রতিটা মূহুর্তে আমাকে এই পেইন দিয়ে যাচ্ছে।কিন্তু তাদের কোনভাবেই বুঝাতে পারি না কত ট্রাই করছি।তারা মনে করে শুধু পড়ালেখা শেষ করলেই চাকরী।,0,0,0,,0
গত বছরের এই আগস্টেই ঐ একই রুটে রুপা নামক সংগ্রামী এক নারী ও ভবিতব্য আইনজীবীকে গণধর্ষণের হত্যা করা হয়। উক্ত অপরাধীর ৪ জনের দন্ডিত ফাঁসি এখনো কার্যকর হয় নি।এই ঘৃণিত দর্শকদের থামানোর জন্য একটি পাবলিকলি  ফাঁসি কার্যকর করার অনুরোধ জানাচ্ছি। নচেত এ ভাবে রূপারা বাসের ড্রাইভার হেলফারদের শিকার হতেই থাকবে। ,0,0,0,,0
"প্রাইম মিনিস্টার যদি ১০ কোটি লোকের জব দিয়ে থাকেন,তবে তার বেকার থাকার কথা নয়।",0,0,0,,0
ফাউল মার্কা খেলা গুলি দেখ বইসা বইসা? তার চাইতে টিভি দেখ ভালো লাগবো,0,0,0,,0
কালকের বাস শিডিউলটা দিলে ভালো হয়।,0,0,0,,0
"মেসিরা এথিস্ট  হয়েও মানবতার উজ্জল দৃস্টান্ত রাখলো,আর এখানে মেসিদের জায়গায় সৌদিআরব থাকতো তাইলে মানবতা গর্তে লুকাতো",0,0,0,,0
"মাসরাফি তার স্টেটমেন্ট  উল্লেখ করেছে ঢাকায় যে তার ফ্লাট রয়েছে তার দাম ৮ লাখ টাকা আমি বি বি সির নিউজ বরাত দিয়ে তাকে জানিয়ে দিতে চাই আমি তার ফ্লাটের দাম ১৭ লাখ দিব যদি সে বিক্রি করে, আর যদি সে বিক্রি করতে আগ্রহ না দেখায় তাহলে বুজতে হবে তার স্টেটমেন্ট কারসাজি আছে।",0,0,0,,0
আর্জেন্টিনা আর মেসিভক্ত হিসেবে এই খবরটা নিউজ  অপেক্ষায় ছিলাম,0,0,0,,0
আপনারা দিরিলিস চালু করুন। আর রবিবারের পরিবর্তে শনিবার থেকে শুরু করুন। দিরিলিসের কারনে আপনাদের চ্যানেল আজ জনপ্রিয়তায় অন্যান্য উচ্চতায়।,0,0,0,,0
নির্যাতিত ফিলিস্তিনিদের অনুরোধে ম্যাচ বয়কট  করার জন্য আর্জেন্টিনাকে ধন্যবাদ.,0,0,0,,0
"ব্রাজিল সাপোর্ট করি, কিন্তুু মেসি কে খুবি পছন্দ করি,, নিউজটা সোনে মেসির প্রতি ভালোবাসা বেরে গেলো,, দোয়া করি শুধু মাএ মেসির জন্য হলেও, অার্জেন্টিনা এবার ওয়ার্ল্ড কাপ জিতুক,।",0,0,0,,0
"কখনো আর্জেন্টিনার সার্পোট করতাম না, তবুও ইসরাইলের সাথে ম্যাচ বয়কট করার জন্য ধন্যবাদ জানালাম।",0,0,0,,0
"ধন্যবাদ আর্জেন্টিনা ও মেসিকে। খুনি, দখলদার ইসরাইলের বিরুদ্ধে না খেলার জন্য। এর মাধ্যমে আর্জেন্টিনা সাপর্টের মাঝে মেসিদের প্রতি ভালবাসা বেড়ে গেছে।",0,1,0,,0
মেসি মানুষ টা এমনই- যে শুধু অবিরাম ভালোবাসা পাওয়ারই যোগ্য। ধন্যবাদ মেসি। লাভ ইউ বস।,0,0,0,,0
যদিও আমি ব্রাজিলের সমর্থক তবুও মেসিদের এই সিন্ধান্ত কে স্যালুট।কাপ টা যদি ব্রাজিলের হাতে না যায় তাহলে যেনো মেসির হাতে যায়।কারন তার এই কাপ টা প্রাপ্য।,0,0,0,,0
আমি যদিও ব্রাজিলের সমরথক তবুও আর্জেন্টিনা ফুটবল ফেডারেশনকে ধন্যবাদ ম্যাচটি বাতিল করার জন্য,0,0,0,,0
 আমি পঞ্চগড় জেলার আটোয়ারী উপজেলার রাধানগর প্রধান পাড়া থেকে বিবিসি লাইভ দেখছি। আমি পঞ্চগড় পর্যন্ত আন্তঃনগর ট্রেন এবং ঠাকুরগাঁও এর পুরাতন বিমানবন্দর চালু করার জন্য বর্তমান সরকারের পদক্ষেপ গ্রহনের জন্য জোর দাবী করছি। আশা করি বিবিসি গুরুত্বপূর্ণ ভূমিকা রাখবে।,0,0,0,,0
"যদি উরুগুয়ে ভাল দল,তবে মিশরের আছে সালাহ এর মত প্লেয়ার।অনিশ্চিত সব, মাঠের খেলায় চোখ রাখা দরকার।",0,0,0,,0
এই ধরনের ধর্ষনের শাস্তি আমার কাছে মৃত্যুদন্ড অথবা মিডিল ইষ্টের মত জনস্মুখে জবাই করা উত্তম মনে হয়।,1,0,0,,0
"স্যালুট আর্জেন্টাইন ফুটবল ফেডারেশনকে , ধন্যবাদ আমাদের বস মেসিকে , তো রাশিয়া বিশ্বকাপে আমি আর্জেন্টাইনদের সাফল্য ও সুস্থতা কামনা করি",0,0,0,,0
কালকে সিদ্ধান্ত নিছিলাম আর্জেন্টিনা সাপোর্ট করবনা আর। আজকে আর্জেন্টিনার প্রতি ভালবাসা আরেকটু বাড়ল।,0,0,0,,0
"কারো কারো প্রোফাইলে গেলে দেখা যায় ""দিজ প্রোফাইল ইজ লকড"" লেখা।জানতে চাই প্রোফাইল কিভাবে লকড করে?",0,0,0,,0
আমি ব্যক্তিগত ভাবে একজন ব্রাজিল সাপোর্টার।তবু মেসিদের ইজরায়েল ম্যাচটি বয়কট করার জন্য আন্তরিকভাবে কৃতজ্ঞতা জানাচ্ছি।,0,0,0,,0
পারিবারিক মানারের  অভাবে এমন ধরনের পশুর জন্ম হচ্ছে,0,0,0,,0
"প্লিজ সম্য,সাব্বিরকে আবার দলে আনুন!ওরা খেলা না পারলেও স্টাইল ছিল!...আর এখন যেগুলা আছে এগুলার কিছুই নেই",0,0,0,,0
"তুমি যত বুড়া হও অসুবিধা নেই, চেহারা কুঁচকায় যাক নো প্রবলেম, তোমার মনটা এখন যেমনি আছে,ফিউচার ও যেন তেমনি থাকে এটাই আশা করি।",0,0,0,,0
"আমার প্যাড থাই ছিল, এবং নুডলস স্টিকি ছিল।",0,0,0,,0
